,,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
,Heart Re-Tx/Gf: Other Specify,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Restrictive/Constrictive,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hypertrophic Cardiomyopathy,,126,0,0,3,2,0,5,3,2,1,2,4,1,0,0,3,9,2,3,2,11,1,3,5,0,1,0,5,3,3,1,0,0,0,0,9,0,8,0,3,0,1,3,3,0,6,1,0,2,1,2,4,6,1,2,0
,Lymphangioleiomyomatosis,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Muscular Dystrophy: Other Specify,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Restrictive Myopathy: Amyloidosis,,26,0,0,0,0,0,1,1,1,2,0,1,0,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,1,0,0
,Restrictive Myopathy: Idiopathic,,26,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,2,0,2,0,0
,Restrictive Myopathy: Other Specify,,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0
,
,Restrictive Myopathy: Sarcoidosis,,47,0,0,0,0,0,1,1,2,1,1,3,0,0,0,0,4,1,1,1,3,2,4,0,0,0,0,0,3,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,1,2,0,4,0,1,3,0,2,1,0
,Restrictive Myopathy: Sec To Radiat/Chem,,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rheumatoid Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sarcoidosis,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Valvular Heart Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Other, Specify",,12,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
,DILATED MYOPATHY: VIRAL (NOT COVID-19),,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Heart Defect -. With Surgery,,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,Congenital Heart Defect -. Without Surgery,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coronary Artery Disease,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Dilated Myopathy: Adriamycin,,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2
,Dilated Myopathy: Alcoholic,,13,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,Dilated Myopathy: Familial,,139,0,4,3,3,2,3,2,1,0,1,4,0,5,0,0,6,6,1,0,13,6,3,8,1,0,2,3,3,1,0,0,0,0,2,11,0,4,0,1,4,4,2,0,0,7,2,0,3,2,1,5,3,3,4,0
,Dilated Myopathy: Idiopathic,,"1,141",1,7,10,23,0,48,14,9,37,18,25,21,82,0,1,60,19,29,23,49,62,14,28,10,3,14,11,47,0,22,0,0,0,7,93,0,26,0,15,9,7,42,3,1,6,35,10,91,13,33,9,30,8,19,5
,Dilated Myopathy: Ischemic,,26,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,4,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
,Dilated Myopathy: Myocarditis,,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,1,0,0
,Dilated Myopathy: Other Specify,,413,11,2,12,4,1,15,2,4,0,16,21,0,3,0,0,17,16,6,0,5,7,37,11,3,1,1,3,2,13,4,0,0,0,5,35,0,49,0,0,1,8,3,11,1,26,2,0,9,12,18,6,1,6,1,3
Cholestatic Liver Disease/Cirrhosis,All Diagnosis,,"1,939",53,14,69,84,6,152,20,36,16,77,33,14,43,6,2,64,25,36,47,78,88,20,35,26,13,50,7,8,13,14,0,0,0,6,79,0,17,0,17,28,20,38,32,9,49,23,10,176,29,96,20,92,35,14,16
,Primary Biliary Cirrhosis (Pbc),,179,6,1,8,6,0,32,5,2,2,8,0,1,6,0,0,4,0,2,4,6,9,2,2,0,0,3,0,0,6,1,0,0,0,1,7,0,1,0,0,1,0,3,3,1,3,1,0,16,3,12,1,6,4,1,1
,Psc: Crohn'S Disease,,34,0,0,1,2,1,2,0,1,0,1,3,0,0,0,0,5,1,1,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,1
,Psc: No Bowel Disease,,118,0,0,4,3,0,7,0,3,2,2,1,1,2,0,0,2,0,1,10,4,14,3,4,4,0,1,1,2,1,1,0,0,0,0,9,0,2,0,1,1,3,3,1,0,2,2,1,7,0,5,1,2,3,1,1
,Psc: Other Specify,,38,4,0,0,7,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,1,2,1,0
,Psc: Ulcerative Colitis,,135,2,0,6,6,1,9,2,1,1,5,2,0,4,0,0,5,0,4,0,9,14,3,4,1,0,2,0,0,1,0,0,0,0,1,14,0,0,0,1,1,3,5,0,0,5,3,0,5,0,2,2,3,3,0,5
,Sec Biliary Cirrhosis: Caroli'S Disease,,12,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,Sec Biliary Cirrhosis: Choledochol Cyst,,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
,Sec Biliary Cirrhosis: Other Specify,,20,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),,"1,114",40,9,34,40,1,77,10,24,8,47,19,7,29,4,2,34,20,27,30,30,34,10,17,10,13,32,4,5,4,9,0,0,0,3,32,0,9,0,13,19,11,19,21,6,27,17,8,123,18,61,12,63,20,4,7
,CIRRHOSIS: METABOLIC DYSFUNCTION AND ALCOHOL-RELATED/ASSOCIATED LIVER DISEASE (METALD),,274,1,4,16,16,3,17,2,3,2,11,7,4,2,0,0,13,4,1,3,23,9,2,7,8,0,8,1,0,0,2,0,0,0,1,8,0,4,0,1,5,2,4,4,2,12,0,1,21,7,14,2,11,2,5,1
,Choles Liver Disease: Other Specify,,13,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Congenital Heart Disease,All Diagnosis,,499,3,3,7,20,0,35,12,11,1,4,25,2,8,0,3,26,7,17,1,20,12,9,27,7,0,9,10,8,5,0,0,0,0,0,13,0,18,0,16,5,0,27,10,1,12,5,4,26,5,34,12,8,4,6,1
,Eisenmenger'S Syn: Atrial Septal Defect,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eisenmenger'S Syn: Multi Congenital Anomalies,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hypertrophic Cardiomyopathy,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Pulmonary Hypertension/Pulmonary Arterial Hyperte,,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
,Pulmonary Vascular Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Valvular Heart Disease,,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,"Other, Specify",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bronchiectasis,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Heart Defect -. Prior Surgery Unknown,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Heart Defect -. With Surgery,,460,2,1,7,19,0,35,12,8,0,4,24,2,8,0,1,23,6,17,1,19,11,9,26,7,0,9,6,8,4,0,0,0,0,0,12,0,17,0,14,5,0,27,10,1,10,4,4,24,4,30,11,8,4,5,1
,Congenital Heart Defect -. Without Surgery,,31,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,1,0,1,1,3,1,0,0,1,0
,
,Dilated Myopathy: Adriamycin,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congenital, Rare, Familial, and Metaboli",All Diagnosis,,"1,453",12,6,39,111,26,127,23,18,9,9,22,35,39,3,8,42,19,15,16,77,43,34,54,20,3,40,27,26,10,47,4,4,12,11,103,3,11,0,11,16,23,56,12,1,13,19,4,24,44,33,15,41,21,16,15
,Fabry'S Disease,,44,1,0,4,5,1,0,0,0,2,1,3,1,0,1,0,1,1,2,1,2,1,1,3,0,0,2,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,1,0,3,1,0,0,1,0
,Hypoplasia/Dysplasia/Dysgensis/Agenesis,,534,2,2,15,41,15,55,5,5,0,3,5,18,8,1,4,14,11,5,5,22,13,11,25,7,1,16,10,10,3,21,1,2,5,2,36,0,5,0,6,1,6,23,2,0,1,8,1,10,14,13,4,22,8,7,9
,Medullary Cystic Disease,,103,2,0,2,1,2,6,2,2,2,1,1,4,2,0,1,3,0,1,0,13,5,2,3,1,1,4,5,1,1,3,1,0,0,3,11,0,0,0,0,0,2,4,1,0,4,2,0,1,1,1,0,1,2,0,0
,Nephronophthisis,,74,1,0,1,8,0,6,2,0,0,1,2,1,2,0,1,1,1,1,3,4,2,1,2,1,0,2,0,2,2,1,0,0,0,0,8,0,0,0,0,1,4,5,0,0,0,0,0,2,1,0,0,3,2,0,0
,Prune Belly Syndrome,,40,1,0,0,3,0,6,0,0,0,1,1,1,0,0,0,2,0,0,2,2,2,1,1,2,0,0,1,2,0,2,0,0,1,0,1,0,0,0,0,1,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0
,Congenital Obstructive Uropathy,,625,3,3,17,51,8,54,13,11,5,2,8,10,27,1,2,19,6,4,5,31,19,18,20,8,1,15,11,9,4,20,2,1,5,5,43,3,6,0,4,12,6,19,7,1,7,7,3,9,27,15,8,15,9,8,4
,Cystinosis,,35,2,1,0,2,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,3,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,1,2,1,1,0,1,2,0,0,0,1,1,0,0,0,2
Coronary Artery Disease,All Diagnosis,,908,0,7,23,18,3,50,16,9,19,19,24,21,25,0,5,48,26,25,10,39,17,24,21,13,2,12,13,22,10,10,0,0,0,6,76,0,33,0,8,12,6,26,12,3,27,22,7,42,22,27,12,22,5,15,1
,Heart Re-Tx/Gf: Coronary Artery Disease,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,Iip: Idiopathic Pulmonary Fibrosis (Ipf),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Restrictive Myopathy: Amyloidosis,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Restrictive Myopathy: Idiopathic,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rheumatoid Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Other, Specify",,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,DILATED MYOPATHY: VIRAL (NOT COVID-19),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congenital Heart Defect -. Without Surgery,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Copd/Emphysema,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coronary Artery Disease,,65,0,0,0,1,0,2,3,2,0,0,1,1,1,0,0,2,13,1,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,2,0,0,13,1,2,0,2,0,0,0
,Dilated Myopathy: Alcoholic,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dilated Myopathy: Familial,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Dilated Myopathy: Idiopathic,,24,0,1,2,0,0,2,0,0,0,1,1,0,2,0,1,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0
,Dilated Myopathy: Ischemic,,797,0,3,20,16,3,45,13,7,18,18,22,20,22,0,4,43,13,24,8,35,16,22,18,13,2,12,10,21,8,10,0,0,0,6,65,0,33,0,6,11,5,26,10,3,25,21,7,27,21,23,12,16,5,15,1
,Dilated Myopathy: Other Specify,,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Cystic Fibrosis,All Diagnosis,,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
,Cystic Fibrosis,,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0
Diabetes,All Diagnosis,,"36,497",307,91,902,"2,511",743,"3,483",708,476,189,612,532,573,"1,179",160,175,"1,650",373,525,765,"1,653","1,053",800,809,515,197,414,559,782,98,910,226,149,53,251,"2,048",69,299,23,245,211,349,"1,261",579,193,761,828,304,"1,464","1,604","1,557",318,877,457,237,218
,Diabetes -. Type I. Insulin Dep/Juv Onset,,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
,Diabetes -. Type II Insulin Dep/Adult Ons,,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes -. Type II Non-Insulin Dep/Adult,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type I,,"3,830",38,14,70,187,28,241,44,66,33,69,61,40,105,5,42,166,46,80,134,240,87,93,147,91,14,55,72,89,12,83,15,19,13,49,154,18,61,5,41,27,42,138,56,33,87,106,23,120,95,115,61,112,84,38,45
,Diabetes Mellitus -. Type I,,357,1,0,2,30,0,12,3,4,3,0,4,0,1,0,1,41,1,7,3,20,11,8,41,0,0,0,5,3,1,10,0,0,2,4,53,1,3,0,0,0,3,15,13,0,4,6,2,8,7,2,3,9,3,2,8
,Diabetes Mellitus -. Type II,,"32,118",267,76,823,"2,278",714,"3,201",660,405,152,542,464,532,"1,069",155,129,"1,433",325,439,620,"1,380",955,696,597,417,180,357,478,692,84,810,210,98,37,192,"1,821",50,233,16,203,184,301,"1,105",500,159,657,717,277,"1,324","1,498","1,434",253,754,364,194,164
,Diabetes Mellitus -. Type II,,87,1,0,0,6,0,11,0,0,0,1,2,0,0,0,0,5,0,0,1,1,1,0,21,0,0,0,6,0,0,4,0,0,0,0,7,0,0,2,0,0,0,0,1,0,8,0,0,3,1,2,0,2,0,2,0
,Diabetes Mellitus -. Type Other /. Unknown,,211,0,1,0,9,1,20,1,1,3,1,2,1,5,0,3,5,1,0,7,15,2,3,3,0,3,2,0,0,1,5,1,32,1,6,14,0,2,0,1,1,3,4,9,1,7,2,2,10,2,6,1,3,6,1,1
Emphysema/COPD,All Diagnosis,,182,1,0,5,10,0,3,0,2,2,0,2,1,1,0,1,4,1,7,0,6,10,24,11,9,0,0,0,1,1,1,0,0,0,0,17,0,3,0,2,3,0,25,4,0,0,0,0,5,2,2,3,3,8,1,2
,Alpha -. 1. -. Antitrypsin Deficiency,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Iip: Idiopathic Pulmonary Fibrosis (Ipf),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Iip: Nonspecific Interstitial Pneumonia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Obstructive Lung Disease,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,
,Occupational Lung Disease Other Specify,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ards/Pneumonia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Copd/Emphysema,,174,1,0,5,10,0,3,0,2,2,0,2,1,1,0,1,4,1,5,0,6,9,24,11,9,0,0,0,1,1,1,0,0,0,0,16,0,3,0,2,1,0,24,4,0,0,0,0,5,2,2,3,3,7,1,2
Functional Bowel Problems,All Diagnosis,,16,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Hirschsprung'S Disease,,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Microvillous Inclusion Disease,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
